order_id,product_id,category,supplier,customer_location,marketing_channel,order_date,return_status,price,quantity,delivery_time
O10035,P690,Books,Supplier A,Delhi,Website Banner,2025-05-04,0,1899.19,3,3
O10036,P105,Home,Supplier A,Chennai,Email,2025-06-25,1,286.11,4,7
O10037,P672,Books,Supplier C,Delhi,Website Banner,2025-05-13,0,1730.31,4,6
O10038,P975,Electronics,Supplier B,Chennai,TV,2025-04-14,1,1995.65,2,4
O10039,P230,Clothing,Supplier A,Hyderabad,Social Media,2025-04-22,1,1796.5,2,3
O10040,P766,Toys,Supplier C,Hyderabad,Social Media,2025-05-18,0,1658.79,2,5
O10041,P538,Electronics,Supplier A,Chennai,Website Banner,2025-05-15,1,873.75,2,3
O10042,P629,Toys,Supplier A,Bangalore,Website Banner,2025-06-15,0,616.37,3,9
O10043,P485,Clothing,Supplier B,Delhi,TV,2025-05-28,0,1522.73,1,9
O10044,P156,Clothing,Supplier A,Delhi,TV,2025-04-11,0,748.24,2,6
O10045,P881,Electronics,Supplier C,Hyderabad,Website Banner,2025-06-16,0,516.87,2,6
O10046,P918,Clothing,Supplier A,Chennai,Website Banner,2025-04-28,0,1615.75,3,4
O10047,P157,Books,Supplier B,Delhi,TV,2025-05-24,0,762.58,2,4
O10048,P165,Clothing,Supplier B,Delhi,Email,2025-06-14,0,1846.0,2,2
O10049,P944,Toys,Supplier C,Bangalore,TV,2025-04-09,0,1713.14,1,4
O10050,P610,Toys,Supplier B,Mumbai,Email,2025-05-29,0,1725.75,4,8
O10051,P835,Toys,Supplier A,Hyderabad,Social Media,2025-04-25,0,1588.83,2,2
O10052,P400,Toys,Supplier B,Hyderabad,Social Media,2025-04-26,1,1785.59,3,9
O10053,P117,Books,Supplier C,Mumbai,TV,2025-04-16,1,1650.34,1,1
O10054,P448,Home,Supplier B,Delhi,Email,2025-04-18,0,1284.52,3,2
O10055,P289,Electronics,Supplier B,Bangalore,TV,2025-04-18,1,732.48,1,2
O10056,P155,Toys,Supplier B,Bangalore,TV,2025-04-15,0,1798.78,1,6
O10057,P630,Clothing,Supplier C,Hyderabad,Email,2025-06-05,0,1713.09,2,7
O10058,P931,Toys,Supplier B,Bangalore,TV,2025-04-05,0,1051.18,2,3
O10059,P830,Clothing,Supplier B,Mumbai,Social Media,2025-06-05,0,270.34,2,9
O10060,P538,Clothing,Supplier A,Delhi,Website Banner,2025-04-09,1,1349.38,4,5
O10061,P681,Toys,Supplier C,Mumbai,Website Banner,2025-04-11,0,291.07,4,5
O10062,P958,Books,Supplier B,Chennai,TV,2025-05-23,0,1867.3,3,4
O10063,P533,Clothing,Supplier C,Hyderabad,Email,2025-05-09,0,1930.94,2,9
O10064,P110,Clothing,Supplier B,Bangalore,Email,2025-05-24,0,541.08,4,8
O10065,P107,Toys,Supplier B,Chennai,Social Media,2025-04-23,0,1417.5,2,4
O10066,P879,Clothing,Supplier B,Bangalore,Email,2025-06-11,0,366.08,4,4
O10067,P356,Clothing,Supplier A,Delhi,Email,2025-05-04,0,1513.13,4,2
O10068,P713,Toys,Supplier A,Delhi,Social Media,2025-06-08,0,825.12,1,9
O10069,P923,Toys,Supplier A,Delhi,TV,2025-05-26,0,1425.89,2,3
O10070,P602,Electronics,Supplier C,Bangalore,Website Banner,2025-05-13,0,871.18,2,4
O10071,P914,Books,Supplier C,Chennai,Social Media,2025-04-26,0,462.02,4,7
O10072,P709,Books,Supplier A,Delhi,TV,2025-05-16,0,931.0,2,8
O10073,P161,Clothing,Supplier C,Chennai,Social Media,2025-04-07,0,402.81,4,8
O10074,P583,Books,Supplier B,Bangalore,TV,2025-05-27,0,1238.39,2,4
O10075,P453,Clothing,Supplier B,Chennai,Social Media,2025-04-15,0,273.71,1,7
O10076,P396,Electronics,Supplier B,Bangalore,TV,2025-05-05,0,1149.18,2,1
O10077,P989,Toys,Supplier A,Bangalore,Social Media,2025-06-26,1,1795.46,1,6
O10078,P539,Toys,Supplier C,Hyderabad,TV,2025-04-19,0,1708.17,3,6
O10079,P452,Toys,Supplier A,Bangalore,Social Media,2025-04-09,0,1789.01,2,6
O10080,P207,Books,Supplier C,Bangalore,Website Banner,2025-05-18,1,1859.69,2,2
O10081,P846,Electronics,Supplier B,Mumbai,Website Banner,2025-06-22,0,388.15,2,8
O10082,P830,Books,Supplier A,Delhi,Email,2025-04-03,0,431.74,1,5
O10083,P151,Books,Supplier C,Hyderabad,TV,2025-04-05,0,1202.61,2,5
O10084,P371,Electronics,Supplier C,Hyderabad,Social Media,2025-04-14,0,1809.15,2,2
O10085,P352,Electronics,Supplier B,Hyderabad,TV,2025-06-05,0,1953.83,4,4
O10086,P669,Electronics,Supplier A,Mumbai,Website Banner,2025-04-25,1,283.27,3,9
O10087,P942,Electronics,Supplier A,Bangalore,TV,2025-04-21,0,840.39,1,9
O10088,P665,Toys,Supplier A,Delhi,Social Media,2025-05-04,0,583.21,4,6
O10089,P163,Home,Supplier B,Chennai,TV,2025-04-27,1,1560.74,1,9
O10090,P387,Home,Supplier A,Bangalore,Social Media,2025-05-15,1,1352.35,4,4
O10091,P832,Electronics,Supplier B,Mumbai,Website Banner,2025-04-27,0,415.8,3,1
O10092,P517,Home,Supplier B,Bangalore,Website Banner,2025-06-11,0,1070.34,4,2
O10093,P965,Home,Supplier B,Bangalore,Website Banner,2025-06-17,1,1433.79,1,1
O10094,P823,Electronics,Supplier C,Mumbai,Email,2025-05-15,0,1602.21,2,8
O10095,P493,Home,Supplier A,Hyderabad,Website Banner,2025-04-11,0,236.09,2,9
O10096,P558,Books,Supplier A,Hyderabad,TV,2025-06-04,1,1802.85,3,6
O10097,P438,Clothing,Supplier B,Delhi,Email,2025-05-12,0,1224.71,1,2
O10098,P230,Clothing,Supplier B,Delhi,Website Banner,2025-04-25,0,1661.44,1,6
O10099,P613,Electronics,Supplier A,Hyderabad,TV,2025-04-19,0,1654.29,1,9
O10100,P943,Toys,Supplier B,Chennai,TV,2025-05-07,0,541.73,3,3
O10101,P265,Electronics,Supplier A,Bangalore,TV,2025-06-02,0,398.31,2,9
O10102,P729,Toys,Supplier C,Chennai,Social Media,2025-05-30,0,1498.32,4,2
O10103,P101,Clothing,Supplier B,Bangalore,Email,2025-04-21,0,481.57,3,5
O10104,P990,Electronics,Supplier A,Hyderabad,TV,2025-05-16,0,1729.89,4,2
O10105,P129,Books,Supplier B,Delhi,Social Media,2025-06-28,0,1507.14,2,7
O10106,P880,Home,Supplier A,Delhi,Website Banner,2025-04-15,0,1715.29,3,9
O10107,P823,Toys,Supplier A,Chennai,TV,2025-05-01,0,738.22,2,7
O10108,P560,Home,Supplier B,Delhi,Social Media,2025-05-26,0,769.88,4,5
O10109,P923,Home,Supplier C,Hyderabad,TV,2025-05-07,0,1408.2,1,4
O10110,P663,Electronics,Supplier A,Chennai,Email,2025-06-16,0,256.6,1,4
O10111,P326,Home,Supplier A,Bangalore,Email,2025-04-29,0,1507.69,4,8
O10112,P852,Books,Supplier A,Delhi,Website Banner,2025-05-05,1,1704.41,1,1
O10113,P656,Home,Supplier C,Mumbai,TV,2025-05-03,0,947.29,4,5
O10114,P657,Electronics,Supplier C,Delhi,Social Media,2025-04-02,0,1576.78,3,2
O10115,P798,Books,Supplier B,Bangalore,Website Banner,2025-05-17,1,514.3,3,9
O10116,P823,Clothing,Supplier C,Chennai,TV,2025-06-14,0,780.07,3,7
O10117,P816,Home,Supplier B,Bangalore,Website Banner,2025-04-10,0,1953.75,1,8
O10118,P283,Electronics,Supplier B,Mumbai,Social Media,2025-06-06,0,1975.39,2,6
O10119,P991,Clothing,Supplier C,Hyderabad,Website Banner,2025-04-09,0,1122.69,1,9
O10120,P420,Clothing,Supplier B,Delhi,Website Banner,2025-06-06,1,1881.69,1,6
O10121,P362,Toys,Supplier C,Chennai,Website Banner,2025-05-25,0,1140.92,2,7
O10122,P772,Books,Supplier B,Hyderabad,TV,2025-05-05,0,724.86,2,7
O10123,P439,Home,Supplier C,Bangalore,Social Media,2025-06-06,0,680.42,2,9
O10124,P534,Electronics,Supplier C,Chennai,Email,2025-06-11,0,1873.11,2,8
O10125,P101,Toys,Supplier B,Hyderabad,TV,2025-04-13,0,510.4,1,1
O10126,P162,Books,Supplier A,Chennai,Email,2025-04-11,0,1243.34,4,4
O10127,P469,Toys,Supplier B,Mumbai,Email,2025-06-29,0,1199.95,3,7
O10128,P448,Books,Supplier C,Mumbai,TV,2025-06-04,0,1531.32,4,8
O10129,P116,Books,Supplier A,Delhi,TV,2025-05-28,1,1098.64,1,7
O10130,P166,Home,Supplier B,Delhi,Social Media,2025-06-10,1,690.11,2,3
O10131,P955,Books,Supplier B,Mumbai,Social Media,2025-04-05,0,504.91,3,4
O10132,P849,Toys,Supplier B,Chennai,Website Banner,2025-04-19,0,1317.47,3,7
O10133,P560,Books,Supplier A,Mumbai,Email,2025-06-06,0,1494.18,4,8
O10134,P494,Home,Supplier C,Delhi,Social Media,2025-05-13,0,1225.14,1,7
O10135,P873,Home,Supplier B,Mumbai,Website Banner,2025-06-27,1,1529.03,1,6
O10136,P860,Toys,Supplier B,Mumbai,Social Media,2025-06-17,0,454.74,1,9
O10137,P369,Clothing,Supplier B,Chennai,TV,2025-04-19,0,1788.45,3,9
O10138,P562,Clothing,Supplier B,Hyderabad,Social Media,2025-06-27,1,1248.31,4,7
O10139,P363,Books,Supplier B,Delhi,Email,2025-04-15,0,428.32,3,8
O10140,P610,Electronics,Supplier C,Chennai,Social Media,2025-04-01,1,1031.47,3,6
O10141,P675,Books,Supplier C,Mumbai,Email,2025-04-13,1,1720.63,2,1
O10142,P150,Toys,Supplier B,Mumbai,TV,2025-05-17,0,1815.61,4,1
O10143,P760,Toys,Supplier A,Hyderabad,Email,2025-05-06,0,676.37,2,6
O10144,P653,Toys,Supplier C,Delhi,Social Media,2025-04-21,1,1480.28,1,2
O10145,P245,Toys,Supplier A,Delhi,Website Banner,2025-04-12,1,379.97,3,8
O10146,P722,Toys,Supplier C,Bangalore,TV,2025-05-08,0,260.38,4,1
O10147,P862,Home,Supplier B,Delhi,Social Media,2025-05-27,1,1208.72,1,2
O10148,P275,Clothing,Supplier C,Hyderabad,TV,2025-06-01,0,1450.69,4,8
O10149,P367,Toys,Supplier B,Bangalore,TV,2025-05-25,0,1632.42,3,6
O10150,P659,Electronics,Supplier C,Bangalore,Social Media,2025-05-20,1,812.39,4,2
O10151,P837,Electronics,Supplier B,Mumbai,Social Media,2025-04-18,0,211.75,1,2
O10152,P741,Electronics,Supplier B,Mumbai,Website Banner,2025-04-04,1,1063.13,2,7
O10153,P216,Electronics,Supplier B,Delhi,TV,2025-06-02,0,228.54,3,5
O10154,P887,Home,Supplier B,Bangalore,TV,2025-06-23,0,365.57,2,5
O10155,P193,Electronics,Supplier A,Mumbai,Social Media,2025-05-10,0,788.04,3,8
O10156,P254,Toys,Supplier B,Hyderabad,Email,2025-06-06,0,986.91,1,7
O10157,P200,Books,Supplier A,Mumbai,Social Media,2025-06-12,0,703.04,3,9
O10158,P795,Electronics,Supplier A,Mumbai,TV,2025-06-08,0,1247.36,2,4
O10159,P184,Home,Supplier B,Bangalore,Social Media,2025-04-10,0,299.63,3,4
O10160,P950,Home,Supplier A,Bangalore,Website Banner,2025-04-06,0,460.24,1,2
O10161,P601,Electronics,Supplier C,Chennai,Email,2025-04-23,0,1451.47,3,3
O10162,P104,Books,Supplier B,Hyderabad,Social Media,2025-04-02,1,455.85,2,1
O10163,P398,Electronics,Supplier A,Bangalore,Website Banner,2025-04-08,0,1351.6,1,1
O10164,P645,Home,Supplier B,Delhi,TV,2025-05-03,0,298.43,2,7
O10165,P226,Clothing,Supplier B,Hyderabad,Social Media,2025-05-12,0,933.29,3,5
O10166,P454,Toys,Supplier B,Hyderabad,TV,2025-06-19,0,519.34,4,3
O10167,P735,Home,Supplier A,Bangalore,Website Banner,2025-06-28,0,397.35,2,7
O10168,P889,Electronics,Supplier C,Hyderabad,TV,2025-04-28,0,1220.66,3,2
O10169,P331,Toys,Supplier C,Bangalore,Website Banner,2025-05-18,0,1871.0,4,3
O10170,P709,Electronics,Supplier A,Mumbai,Website Banner,2025-06-09,0,298.62,4,1
O10171,P492,Electronics,Supplier B,Chennai,Website Banner,2025-06-16,1,958.8,1,8
O10172,P959,Clothing,Supplier A,Mumbai,Social Media,2025-04-12,0,1473.56,4,2
O10173,P310,Toys,Supplier A,Bangalore,TV,2025-06-18,0,1032.84,2,7
O10174,P364,Toys,Supplier A,Bangalore,TV,2025-06-09,0,1651.69,2,9
O10175,P236,Clothing,Supplier B,Mumbai,Email,2025-04-19,0,523.36,4,6
O10176,P295,Home,Supplier A,Delhi,Email,2025-04-08,0,1927.27,3,2
O10177,P931,Electronics,Supplier B,Delhi,Email,2025-06-16,0,893.29,2,2
O10178,P460,Books,Supplier A,Delhi,Email,2025-06-19,0,814.83,2,9
O10179,P583,Electronics,Supplier C,Bangalore,TV,2025-04-28,0,1774.29,1,8
O10180,P219,Electronics,Supplier A,Hyderabad,Website Banner,2025-04-25,0,1214.96,3,9
O10181,P378,Home,Supplier A,Bangalore,Website Banner,2025-04-24,0,1129.6,4,4
O10182,P373,Electronics,Supplier C,Hyderabad,Social Media,2025-05-30,0,1508.56,3,4
O10183,P617,Clothing,Supplier B,Mumbai,Website Banner,2025-04-25,0,1243.7,1,2
O10184,P871,Clothing,Supplier B,Chennai,TV,2025-05-27,0,492.53,1,1
O10185,P463,Toys,Supplier A,Hyderabad,TV,2025-04-29,0,1413.56,3,4
O10186,P701,Books,Supplier C,Delhi,TV,2025-05-22,0,440.24,1,8
O10187,P896,Electronics,Supplier B,Bangalore,Social Media,2025-04-24,0,1650.54,1,2
O10188,P941,Electronics,Supplier A,Mumbai,Email,2025-05-07,0,1981.53,1,8
O10189,P553,Home,Supplier C,Delhi,Website Banner,2025-06-13,0,879.3,3,1
O10190,P479,Clothing,Supplier B,Mumbai,TV,2025-05-30,0,1000.56,1,1
O10191,P266,Books,Supplier B,Chennai,TV,2025-06-15,0,283.58,4,4
O10192,P653,Toys,Supplier C,Bangalore,Email,2025-06-10,0,224.72,4,7
O10193,P944,Clothing,Supplier C,Bangalore,TV,2025-04-01,0,1858.55,2,9
O10194,P578,Toys,Supplier C,Chennai,Website Banner,2025-05-01,0,431.52,4,5
O10195,P250,Home,Supplier C,Bangalore,Social Media,2025-06-17,1,1002.4,2,2
O10196,P763,Home,Supplier A,Hyderabad,TV,2025-06-19,0,1667.64,3,7
O10197,P161,Electronics,Supplier C,Mumbai,Website Banner,2025-04-26,0,1800.77,1,2
O10198,P390,Books,Supplier B,Delhi,TV,2025-05-09,1,1134.92,4,9
O10199,P562,Toys,Supplier B,Chennai,Email,2025-05-31,1,1217.06,2,9
O10200,P174,Clothing,Supplier A,Hyderabad,TV,2025-04-02,0,1405.43,3,3
O10201,P707,Home,Supplier B,Delhi,TV,2025-04-03,0,1930.49,2,8
O10202,P923,Electronics,Supplier B,Delhi,Social Media,2025-06-06,0,1284.81,1,4
O10203,P695,Electronics,Supplier C,Chennai,Email,2025-05-21,0,1207.06,4,3
O10204,P223,Toys,Supplier B,Hyderabad,Email,2025-04-26,0,226.16,3,1
O10205,P942,Home,Supplier A,Delhi,Social Media,2025-05-10,0,345.71,2,5
O10206,P610,Books,Supplier C,Delhi,TV,2025-04-23,0,1238.91,3,4
O10207,P237,Home,Supplier C,Hyderabad,Website Banner,2025-06-26,1,1885.23,2,1
O10208,P657,Toys,Supplier A,Bangalore,Email,2025-05-05,1,1760.04,2,8
O10209,P885,Toys,Supplier C,Delhi,Email,2025-05-28,0,1968.64,1,8
O10210,P320,Home,Supplier C,Mumbai,TV,2025-06-07,0,1150.1,1,8
O10211,P974,Toys,Supplier A,Hyderabad,TV,2025-05-22,0,1618.28,2,3
O10212,P672,Home,Supplier C,Delhi,Email,2025-05-17,1,1712.72,4,6
O10213,P352,Clothing,Supplier A,Chennai,TV,2025-05-20,0,1366.46,3,7
O10214,P314,Home,Supplier A,Mumbai,Website Banner,2025-06-17,0,809.75,3,9
O10215,P505,Home,Supplier B,Delhi,Email,2025-04-27,0,1045.96,1,5
O10216,P275,Toys,Supplier B,Mumbai,Website Banner,2025-04-21,0,1744.25,4,9
O10217,P327,Toys,Supplier C,Mumbai,Website Banner,2025-05-21,0,737.39,2,6
O10218,P667,Electronics,Supplier C,Bangalore,TV,2025-06-02,0,1862.74,1,4
O10219,P492,Electronics,Supplier A,Mumbai,Website Banner,2025-04-14,0,613.65,2,1
O10220,P719,Clothing,Supplier C,Bangalore,TV,2025-04-11,0,1549.13,2,1
O10221,P891,Electronics,Supplier A,Hyderabad,Social Media,2025-06-27,0,1335.01,1,5
O10222,P800,Home,Supplier A,Bangalore,TV,2025-06-14,0,1549.28,4,3
O10223,P930,Toys,Supplier C,Chennai,Website Banner,2025-05-31,1,987.23,3,5
O10224,P683,Electronics,Supplier A,Delhi,Social Media,2025-04-15,1,1878.75,1,5
O10225,P596,Electronics,Supplier B,Hyderabad,TV,2025-04-03,1,1338.45,4,1
O10226,P431,Clothing,Supplier C,Hyderabad,Website Banner,2025-05-25,1,718.93,2,8
O10227,P876,Clothing,Supplier B,Chennai,Email,2025-06-26,0,1349.22,1,5
O10228,P813,Home,Supplier C,Bangalore,Email,2025-05-22,0,716.27,3,5
O10229,P746,Toys,Supplier A,Delhi,TV,2025-05-18,0,728.54,3,9
O10230,P948,Clothing,Supplier C,Bangalore,TV,2025-05-10,1,919.28,2,8
O10231,P590,Electronics,Supplier B,Mumbai,Email,2025-04-10,0,1734.37,1,1
O10232,P447,Toys,Supplier A,Bangalore,Website Banner,2025-06-17,0,1100.54,3,3
O10233,P537,Toys,Supplier C,Hyderabad,Website Banner,2025-06-05,1,1422.02,1,7
O10234,P282,Electronics,Supplier C,Delhi,Website Banner,2025-06-24,0,905.54,3,1
O10235,P338,Clothing,Supplier C,Bangalore,TV,2025-05-27,0,674.49,2,1
O10236,P811,Electronics,Supplier B,Delhi,Social Media,2025-04-04,0,1918.35,2,5
O10237,P564,Toys,Supplier B,Delhi,Social Media,2025-06-20,0,1286.45,1,9
O10238,P714,Books,Supplier C,Mumbai,Social Media,2025-05-21,0,1881.11,4,6
O10239,P782,Books,Supplier A,Mumbai,Social Media,2025-04-23,0,566.14,4,2
O10240,P961,Home,Supplier A,Hyderabad,Social Media,2025-04-05,0,464.41,2,9
O10241,P379,Electronics,Supplier B,Chennai,TV,2025-04-01,1,1740.48,3,6
O10242,P717,Electronics,Supplier A,Delhi,TV,2025-04-03,0,1425.65,4,5
O10243,P295,Home,Supplier B,Chennai,Social Media,2025-06-23,0,535.84,2,5
O10244,P783,Home,Supplier C,Hyderabad,TV,2025-06-11,0,684.85,3,3
O10245,P348,Home,Supplier B,Delhi,TV,2025-04-23,0,1641.2,3,6
O10246,P631,Toys,Supplier B,Delhi,Social Media,2025-06-15,0,1016.96,4,4
O10247,P612,Electronics,Supplier C,Chennai,Website Banner,2025-04-12,0,1406.97,2,2
O10248,P579,Toys,Supplier A,Bangalore,TV,2025-06-04,0,773.03,3,3
O10249,P521,Home,Supplier B,Mumbai,Website Banner,2025-06-19,0,886.21,3,9
O10250,P885,Electronics,Supplier B,Bangalore,TV,2025-04-24,0,1983.28,1,9
O10251,P537,Toys,Supplier C,Chennai,TV,2025-04-28,0,645.71,1,6
O10252,P811,Toys,Supplier A,Mumbai,Social Media,2025-05-15,0,1111.62,4,9
O10253,P787,Home,Supplier B,Bangalore,TV,2025-05-26,0,1719.92,1,4
O10254,P538,Electronics,Supplier C,Mumbai,Email,2025-04-01,0,630.6,2,5
O10255,P975,Home,Supplier B,Delhi,Email,2025-06-23,1,947.38,4,6
O10256,P628,Electronics,Supplier C,Bangalore,Social Media,2025-05-07,0,1307.16,4,9
O10257,P270,Books,Supplier A,Mumbai,Website Banner,2025-04-08,0,1066.14,1,5
O10258,P486,Clothing,Supplier A,Mumbai,Website Banner,2025-06-21,0,1027.1,3,8
O10259,P775,Clothing,Supplier A,Mumbai,Website Banner,2025-06-07,0,852.52,2,1
O10260,P247,Clothing,Supplier A,Bangalore,Email,2025-04-03,0,1255.96,2,5
O10261,P399,Home,Supplier B,Hyderabad,Website Banner,2025-05-07,0,1323.87,2,1
O10262,P813,Books,Supplier B,Bangalore,Website Banner,2025-04-06,0,1375.92,4,6
O10263,P841,Electronics,Supplier A,Chennai,Social Media,2025-06-01,0,326.66,2,7
O10264,P857,Toys,Supplier A,Bangalore,Website Banner,2025-04-14,0,1335.86,3,5
O10265,P393,Electronics,Supplier A,Mumbai,Email,2025-06-21,0,1915.83,3,1
O10266,P318,Toys,Supplier B,Delhi,Email,2025-06-08,0,1173.78,1,6
O10267,P332,Electronics,Supplier A,Bangalore,Email,2025-06-22,0,1487.48,2,5
O10268,P844,Books,Supplier A,Bangalore,Social Media,2025-05-31,1,1202.12,4,6
O10269,P970,Toys,Supplier A,Mumbai,Social Media,2025-04-05,0,1738.53,1,7
O10270,P171,Home,Supplier C,Delhi,TV,2025-04-02,0,1873.25,3,7
O10271,P971,Electronics,Supplier A,Delhi,Website Banner,2025-06-12,0,531.6,2,2
O10272,P172,Electronics,Supplier C,Chennai,Social Media,2025-06-28,0,986.35,3,3
O10273,P860,Toys,Supplier C,Bangalore,Email,2025-04-23,0,906.29,1,6
O10274,P723,Home,Supplier A,Delhi,Email,2025-05-03,0,929.39,3,3
O10275,P618,Home,Supplier C,Delhi,Social Media,2025-04-10,0,425.94,2,2
O10276,P927,Books,Supplier A,Hyderabad,Social Media,2025-04-17,0,1664.51,2,4
O10277,P481,Home,Supplier B,Hyderabad,Social Media,2025-06-02,1,264.38,1,5
O10278,P292,Home,Supplier B,Delhi,TV,2025-04-26,0,1150.81,2,9
O10279,P990,Home,Supplier B,Chennai,Email,2025-05-24,0,1391.38,3,3
O10280,P462,Clothing,Supplier B,Delhi,TV,2025-06-10,1,573.44,3,3
O10281,P617,Books,Supplier C,Mumbai,TV,2025-04-04,1,1830.53,4,6
O10282,P662,Electronics,Supplier A,Bangalore,Website Banner,2025-05-11,0,1709.39,4,5
O10283,P216,Toys,Supplier A,Chennai,Email,2025-05-30,0,1047.95,4,6
O10284,P463,Electronics,Supplier A,Mumbai,Email,2025-04-24,1,940.07,3,7
O10285,P709,Books,Supplier B,Chennai,Social Media,2025-05-15,0,625.82,3,3
O10286,P574,Toys,Supplier B,Mumbai,Social Media,2025-05-25,0,1513.99,1,5
O10287,P858,Books,Supplier A,Bangalore,Website Banner,2025-05-28,0,437.14,4,8
O10288,P753,Home,Supplier B,Bangalore,TV,2025-06-14,0,1424.43,3,4
O10289,P320,Toys,Supplier A,Hyderabad,Social Media,2025-06-24,0,1716.42,1,2
O10290,P382,Home,Supplier A,Mumbai,Social Media,2025-06-08,0,611.25,3,4
O10291,P394,Electronics,Supplier A,Hyderabad,Email,2025-05-13,0,1759.57,1,2
O10292,P351,Electronics,Supplier A,Mumbai,Email,2025-06-07,0,259.98,4,3
O10293,P629,Toys,Supplier A,Hyderabad,Social Media,2025-05-26,0,1843.02,4,4
O10294,P576,Toys,Supplier A,Bangalore,Email,2025-04-07,1,413.05,4,4
O10295,P208,Books,Supplier A,Chennai,Website Banner,2025-04-24,1,1362.37,3,9
O10296,P908,Books,Supplier B,Hyderabad,Social Media,2025-06-26,0,650.15,3,6
O10297,P297,Home,Supplier A,Mumbai,Email,2025-05-04,0,1705.79,1,9
O10298,P647,Toys,Supplier A,Mumbai,Website Banner,2025-04-06,0,1122.14,2,4
O10299,P130,Electronics,Supplier B,Bangalore,Email,2025-05-17,0,443.43,2,9
O10300,P684,Books,Supplier B,Mumbai,Email,2025-04-20,0,1227.78,4,9
O10301,P319,Books,Supplier B,Delhi,Email,2025-05-24,0,934.19,2,6
O10302,P102,Electronics,Supplier A,Chennai,Social Media,2025-04-24,1,1390.61,4,5
O10303,P598,Books,Supplier C,Hyderabad,TV,2025-04-02,0,1787.43,1,3
O10304,P575,Home,Supplier C,Chennai,Email,2025-06-22,0,936.9,2,5
O10305,P911,Toys,Supplier B,Bangalore,Website Banner,2025-05-03,0,721.79,2,3
O10306,P848,Electronics,Supplier C,Hyderabad,Social Media,2025-05-04,0,226.13,4,5
O10307,P628,Toys,Supplier B,Hyderabad,Social Media,2025-04-16,0,1234.71,1,5
O10308,P311,Books,Supplier A,Delhi,Website Banner,2025-06-12,0,924.09,2,2
O10309,P911,Books,Supplier C,Bangalore,Email,2025-06-06,0,874.37,2,9
O10310,P239,Electronics,Supplier A,Mumbai,TV,2025-06-07,1,529.28,2,7
O10311,P747,Home,Supplier C,Delhi,Email,2025-06-16,0,974.1,1,6
